:START_ID(CapabilityNode),:END_ID(CapabilityNode),:TYPE,domain,graph_id
O2,O1,DEPENDS_ON,ela_literacy,master_knowledge_graph
O3,O2,DEPENDS_ON,ela_literacy,master_knowledge_graph
P1,O1,DEPENDS_ON,ela_literacy,master_knowledge_graph
P2,P1,DEPENDS_ON,ela_literacy,master_knowledge_graph
P2,O2,DEPENDS_ON,ela_literacy,master_knowledge_graph
P3,O2,DEPENDS_ON,ela_literacy,master_knowledge_graph
P4,P1,DEPENDS_ON,ela_literacy,master_knowledge_graph
P4,P3,DEPENDS_ON,ela_literacy,master_knowledge_graph
FR1,P3,DEPENDS_ON,ela_literacy,master_knowledge_graph
FR1,P4,DEPENDS_ON,ela_literacy,master_knowledge_graph
FR2,FR1,DEPENDS_ON,ela_literacy,master_knowledge_graph
FR3,FR2,DEPENDS_ON,ela_literacy,master_knowledge_graph
FR4,FR3,DEPENDS_ON,ela_literacy,master_knowledge_graph
FR5,FR4,DEPENDS_ON,ela_literacy,master_knowledge_graph
FR6,FR5,DEPENDS_ON,ela_literacy,master_knowledge_graph
FR6,P2,DEPENDS_ON,ela_literacy,master_knowledge_graph
RC1,O3,DEPENDS_ON,ela_literacy,master_knowledge_graph
RC1,P1,DEPENDS_ON,ela_literacy,master_knowledge_graph
RC2,RC1,DEPENDS_ON,ela_literacy,master_knowledge_graph
RC3,FR4,DEPENDS_ON,ela_literacy,master_knowledge_graph
RC3,RC1,DEPENDS_ON,ela_literacy,master_knowledge_graph
RC4,RC3,DEPENDS_ON,ela_literacy,master_knowledge_graph
RC4,FR6,DEPENDS_ON,ela_literacy,master_knowledge_graph
RC5,RC4,DEPENDS_ON,ela_literacy,master_knowledge_graph
RC5,O3,DEPENDS_ON,ela_literacy,master_knowledge_graph
RC6,RC5,DEPENDS_ON,ela_literacy,master_knowledge_graph
R4,RC6,DEPENDS_ON,ela_literacy,master_knowledge_graph
R5,RC6,DEPENDS_ON,ela_literacy,master_knowledge_graph
R6,R4,DEPENDS_ON,ela_literacy,master_knowledge_graph
R6,R5,DEPENDS_ON,ela_literacy,master_knowledge_graph
L1,O3,DEPENDS_ON,ela_literacy,master_knowledge_graph
L1,P4,DEPENDS_ON,ela_literacy,master_knowledge_graph
L2,FR4,DEPENDS_ON,ela_literacy,master_knowledge_graph
L2,RC3,DEPENDS_ON,ela_literacy,master_knowledge_graph
L3,L1,DEPENDS_ON,ela_literacy,master_knowledge_graph
L3,L2,DEPENDS_ON,ela_literacy,master_knowledge_graph
W1,O3,DEPENDS_ON,ela_literacy,master_knowledge_graph
W1,P4,DEPENDS_ON,ela_literacy,master_knowledge_graph
WC1,L1,DEPENDS_ON,ela_literacy,master_knowledge_graph
WC1,W1,DEPENDS_ON,ela_literacy,master_knowledge_graph
WC2,WC1,DEPENDS_ON,ela_literacy,master_knowledge_graph
WC2,FR4,DEPENDS_ON,ela_literacy,master_knowledge_graph
WC3,WC2,DEPENDS_ON,ela_literacy,master_knowledge_graph
WC4,WC3,DEPENDS_ON,ela_literacy,master_knowledge_graph
WC4,RC6,DEPENDS_ON,ela_literacy,master_knowledge_graph
WC5,WC4,DEPENDS_ON,ela_literacy,master_knowledge_graph
WC6,WC5,DEPENDS_ON,ela_literacy,master_knowledge_graph
WC6,R4,DEPENDS_ON,ela_literacy,master_knowledge_graph
WC6,R5,DEPENDS_ON,ela_literacy,master_knowledge_graph
WC7,WC6,DEPENDS_ON,ela_literacy,master_knowledge_graph
WC7,R6,DEPENDS_ON,ela_literacy,master_knowledge_graph
WC8,WC7,DEPENDS_ON,ela_literacy,master_knowledge_graph
WC8,L3,DEPENDS_ON,ela_literacy,master_knowledge_graph
AC1,R4,DEPENDS_ON,ela_literacy,master_knowledge_graph
AC1,R5,DEPENDS_ON,ela_literacy,master_knowledge_graph
AC2,AC1,DEPENDS_ON,ela_literacy,master_knowledge_graph
AC3,AC2,DEPENDS_ON,ela_literacy,master_knowledge_graph
AC3,WC8,DEPENDS_ON,ela_literacy,master_knowledge_graph
AC3,L3,DEPENDS_ON,ela_literacy,master_knowledge_graph
AC4,R4,DEPENDS_ON,ela_literacy,master_knowledge_graph
AC4,WC6,DEPENDS_ON,ela_literacy,master_knowledge_graph
AC4,L3,DEPENDS_ON,ela_literacy,master_knowledge_graph
AC5,AC4,DEPENDS_ON,ela_literacy,master_knowledge_graph
