source,relationship,target
family-A,BELONGS_TO_FAMILY,A1
family-A,BELONGS_TO_FAMILY,A2
family-A,BELONGS_TO_FAMILY,A3
family-C,BELONGS_TO_FAMILY,C1
family-C,BELONGS_TO_FAMILY,C2
family-C,BELONGS_TO_FAMILY,C3
family-M,BELONGS_TO_FAMILY,M1
family-M,BELONGS_TO_FAMILY,M2
family-M,BELONGS_TO_FAMILY,M3
family-M,BELONGS_TO_FAMILY,M4
family-S,BELONGS_TO_FAMILY,S1
family-S,BELONGS_TO_FAMILY,S2
family-S,BELONGS_TO_FAMILY,S3
family-S,BELONGS_TO_FAMILY,S4
family-R,BELONGS_TO_FAMILY,R1
family-R,BELONGS_TO_FAMILY,R2
family-R,BELONGS_TO_FAMILY,R3
family-R,BELONGS_TO_FAMILY,R4
family-T,BELONGS_TO_FAMILY,T1
family-T,BELONGS_TO_FAMILY,T2
A2,DEPENDS_ON,A1
A2,DEPENDS_ON,R1
A3,DEPENDS_ON,A2
A3,DEPENDS_ON,R3
C1,DEPENDS_ON,A1
C2,DEPENDS_ON,C1
C2,DEPENDS_ON,A2
C3,DEPENDS_ON,C2
C3,DEPENDS_ON,R2
M1,DEPENDS_ON,A1
M1,DEPENDS_ON,C1
M2,DEPENDS_ON,M1
M2,DEPENDS_ON,S1
M3,DEPENDS_ON,M2
M3,DEPENDS_ON,R2
M4,DEPENDS_ON,M3
M4,DEPENDS_ON,S3
M4,DEPENDS_ON,T1
S1,DEPENDS_ON,A1
S1,DEPENDS_ON,C1
S2,DEPENDS_ON,S1
S2,DEPENDS_ON,C2
S3,DEPENDS_ON,S2
S3,DEPENDS_ON,R2
S3,DEPENDS_ON,C3
S4,DEPENDS_ON,S3
S4,DEPENDS_ON,R4
R1,DEPENDS_ON,A1
R2,DEPENDS_ON,R1
R2,DEPENDS_ON,S1
R3,DEPENDS_ON,R2
R3,DEPENDS_ON,S2
R4,DEPENDS_ON,R3
R4,DEPENDS_ON,S3
R4,DEPENDS_ON,M3
T1,DEPENDS_ON,C2
T1,DEPENDS_ON,M2
T1,DEPENDS_ON,S2
T1,DEPENDS_ON,R2
T2,DEPENDS_ON,T1
T2,DEPENDS_ON,A3
T2,DEPENDS_ON,M4
T2,DEPENDS_ON,S4
T2,DEPENDS_ON,R4
ltl-attachment-registry,CONTAINS_ARTIFACT,ltl-a3-planning-template
ltl-attachment-registry,CONTAINS_ARTIFACT,ltl-m4-retrieval-calendar
ltl-attachment-registry,CONTAINS_ARTIFACT,ltl-s4-strategy-comparison-task
ltl-attachment-registry,CONTAINS_ARTIFACT,ltl-r4-decision-support
ltl-attachment-registry,CONTAINS_ARTIFACT,ltl-t2-far-transfer-probe
ltl-upper-slice,ENTRY_NODE,A3
ltl-upper-slice,ENTRY_NODE,R4
ltl-upper-slice,REFERENCES_ARTIFACT_REGISTRY,ltl-attachment-registry
ltl-rule-01,OPERATES_ON,A3
ltl-rule-02,OPERATES_ON,M4
ltl-rule-03,OPERATES_ON,M4
ltl-rule-04,OPERATES_ON,R4
ltl-rule-05,OPERATES_ON,T2
ltl-rule-06,OPERATES_ON,T2
