Source,Target,Type,Label,Weight,Domain,SourceLayer,MappingStatus,RelationshipType,ArtifactType,Purpose,DecisionType,RuleId
capability:Z1,family:z,Directed,BELONGS_TO_FAMILY,1,mathematics,capability_topology,,,,,,
capability:Z2,family:z,Directed,BELONGS_TO_FAMILY,1,mathematics,capability_topology,,,,,,
capability:Z2,capability:Z1,Directed,DEPENDS_ON,1,mathematics,capability_topology,,,,,,
capability:Z1,capability:Z2,Directed,UNLOCKS,1,mathematics,capability_topology,,,,,,
capability:Z3,family:z,Directed,BELONGS_TO_FAMILY,1,mathematics,capability_topology,,,,,,
capability:Z3,capability:Z2,Directed,DEPENDS_ON,1,mathematics,capability_topology,,,,,,
capability:Z2,capability:Z3,Directed,UNLOCKS,1,mathematics,capability_topology,,,,,,
capability:C1,family:c,Directed,BELONGS_TO_FAMILY,1,mathematics,capability_topology,,,,,,
capability:C1,capability:Z2,Directed,DEPENDS_ON,1,mathematics,capability_topology,,,,,,
capability:Z2,capability:C1,Directed,UNLOCKS,1,mathematics,capability_topology,,,,,,
capability:C2,family:c,Directed,BELONGS_TO_FAMILY,1,mathematics,capability_topology,,,,,,
capability:C2,capability:C1,Directed,DEPENDS_ON,1,mathematics,capability_topology,,,,,,
capability:C1,capability:C2,Directed,UNLOCKS,1,mathematics,capability_topology,,,,,,
capability:C3,family:c,Directed,BELONGS_TO_FAMILY,1,mathematics,capability_topology,,,,,,
capability:C3,capability:C2,Directed,DEPENDS_ON,1,mathematics,capability_topology,,,,,,
capability:C2,capability:C3,Directed,UNLOCKS,1,mathematics,capability_topology,,,,,,
capability:C4,family:c,Directed,BELONGS_TO_FAMILY,1,mathematics,capability_topology,,,,,,
capability:C4,capability:C3,Directed,DEPENDS_ON,1,mathematics,capability_topology,,,,,,
capability:C3,capability:C4,Directed,UNLOCKS,1,mathematics,capability_topology,,,,,,
capability:C5,family:c,Directed,BELONGS_TO_FAMILY,1,mathematics,capability_topology,,,,,,
capability:C5,capability:C3,Directed,DEPENDS_ON,1,mathematics,capability_topology,,,,,,
