Id,Label,EntityType,Subtype,Domain,SourceLayer,FamilyId,FamilyName,ImplementationState,PrimaryGradeBand,PrimaryContentDomain,OfficialIdentifier,DocumentPath,ArtifactType,Purpose,DeliveryFormat,SourcePath,DecisionType,Outcome,RegistryId,SliceId,Status,ReviewStatus,SupportedProfiles,MappedFamilyIds,MappedGradeBands,MappedContentDomains,NodeIds,EntryNodeIds,LearnerStateFields,VerificationGateTargets,FailureModeTargets,InterventionTargets,ResponseModesSupported,AccessibilityTags,LanguageSupportTags,AppliesWhen
family:z,zero_state_and_precounting,CapabilityFamily,family,mathematics,capability_topology,Z,zero_state_and_precounting,,,,,,,,,,,,,,,,,Z,,,,,,,,,,,,
capability:Z1,Z1 attention_to_quantity,CapabilityNode,capability,mathematics,capability_topology,Z,zero_state_and_precounting,implemented,Pre-K,pre-standard mathematical readiness,Z1,,,,,,,,,,,,,Z,Pre-K,pre-standard mathematical readiness,,,,,,,,,,
capability:Z2,Z2 match_and_sort_objects,CapabilityNode,capability,mathematics,capability_topology,Z,zero_state_and_precounting,implemented,Pre-K,pre-standard mathematical readiness,Z2,,,,,,,,,,,,,Z,Pre-K,pre-standard mathematical readiness,,,,,,,,,,
capability:Z3,Z3 pattern_and_sequence_readiness,CapabilityNode,capability,mathematics,capability_topology,Z,zero_state_and_precounting,implemented,Pre-K,pre-standard mathematical readiness,Z3,,,,,,,,,,,,,Z,Pre-K,pre-standard mathematical readiness,,,,,,,,,,
family:c,counting_and_cardinality,CapabilityFamily,family,mathematics,capability_topology,C,counting_and_cardinality,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,
capability:C1,C1 stable_counting_sequence,CapabilityNode,capability,mathematics,capability_topology,C,counting_and_cardinality,implemented,Kindergarten,counting and cardinality,C1,,,,,,,,,,,,,C,Kindergarten,counting and cardinality,,,,,,,,,,
capability:C2,C2 one_to_one_correspondence,CapabilityNode,capability,mathematics,capability_topology,C,counting_and_cardinality,implemented,Kindergarten,counting and cardinality,C2,,,,,,,,,,,,,C,Kindergarten,counting and cardinality,,,,,,,,,,
capability:C3,C3 cardinality,CapabilityNode,capability,mathematics,capability_topology,C,counting_and_cardinality,implemented,Kindergarten,counting and cardinality,C3,,,,,,,,,,,,,C,Kindergarten,counting and cardinality,,,,,,,,,,
capability:C4,C4 compare_small_quantities,CapabilityNode,capability,mathematics,capability_topology,C,counting_and_cardinality,implemented,Kindergarten,counting and cardinality,C4,,,,,,,,,,,,,C,Kindergarten,counting and cardinality,,,,,,,,,,
capability:C5,C5 numeral_recognition_and_writing_readiness,CapabilityNode,capability,mathematics,capability_topology,C,counting_and_cardinality,implemented,Kindergarten,counting and cardinality,C5,,,,,,,,,,,,,C,Kindergarten,counting and cardinality,,,,,,,,,,
capability:C6,C6 quantity_symbol_correspondence,CapabilityNode,capability,mathematics,capability_topology,C,counting_and_cardinality,implemented,Kindergarten,counting and cardinality,C6,,,,,,,,,,,,,C,Kindergarten,counting and cardinality,,,,,,,,,,
family:n,whole_number_and_operations,CapabilityFamily,family,mathematics,capability_topology,N,whole_number_and_operations,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,
capability:N1,N1 compose_and_decompose_small_numbers,CapabilityNode,capability,mathematics,capability_topology,N,whole_number_and_operations,implemented,Kindergarten to Grade 1,operations and algebraic thinking,N1,,,,,,,,,,,,,N,Kindergarten to Grade 1,operations and algebraic thinking,,,,,,,,,,
capability:N2,N2 addition_and_subtraction_meaning,CapabilityNode,capability,mathematics,capability_topology,N,whole_number_and_operations,implemented,Kindergarten to Grade 1,operations and algebraic thinking,N2,,,,,,,,,,,,,N,Kindergarten to Grade 1,operations and algebraic thinking,,,,,,,,,,
capability:N3,N3 count_on_and_count_back,CapabilityNode,capability,mathematics,capability_topology,N,whole_number_and_operations,implemented,Kindergarten to Grade 1,operations and algebraic thinking,N3,,,,,,,,,,,,,N,Kindergarten to Grade 1,operations and algebraic thinking,,,,,,,,,,
capability:N4,N4 fluency_foundations,CapabilityNode,capability,mathematics,capability_topology,N,whole_number_and_operations,implemented,Kindergarten to Grade 1,operations and algebraic thinking,N4,,,,,,,,,,,,,N,Kindergarten to Grade 1,operations and algebraic thinking,,,,,,,,,,
