:START_ID(CapabilityNode),:END_ID(CapabilityNode),:TYPE,domain,graph_id
Z2,Z1,DEPENDS_ON,mathematics,master_knowledge_graph
Z3,Z2,DEPENDS_ON,mathematics,master_knowledge_graph
C1,Z2,DEPENDS_ON,mathematics,master_knowledge_graph
C2,C1,DEPENDS_ON,mathematics,master_knowledge_graph
C3,C2,DEPENDS_ON,mathematics,master_knowledge_graph
C4,C3,DEPENDS_ON,mathematics,master_knowledge_graph
C5,C3,DEPENDS_ON,mathematics,master_knowledge_graph
C6,C4,DEPENDS_ON,mathematics,master_knowledge_graph
C6,C5,DEPENDS_ON,mathematics,master_knowledge_graph
N1,C3,DEPENDS_ON,mathematics,master_knowledge_graph
N2,N1,DEPENDS_ON,mathematics,master_knowledge_graph
N3,N2,DEPENDS_ON,mathematics,master_knowledge_graph
N4,N2,DEPENDS_ON,mathematics,master_knowledge_graph
N4,N3,DEPENDS_ON,mathematics,master_knowledge_graph
N5,N1,DEPENDS_ON,mathematics,master_knowledge_graph
N5,C6,DEPENDS_ON,mathematics,master_knowledge_graph
N6,N5,DEPENDS_ON,mathematics,master_knowledge_graph
V1,N6,DEPENDS_ON,mathematics,master_knowledge_graph
V2,V1,DEPENDS_ON,mathematics,master_knowledge_graph
V3,V1,DEPENDS_ON,mathematics,master_knowledge_graph
V3,N4,DEPENDS_ON,mathematics,master_knowledge_graph
V4,V1,DEPENDS_ON,mathematics,master_knowledge_graph
V4,V3,DEPENDS_ON,mathematics,master_knowledge_graph
V5,V4,DEPENDS_ON,mathematics,master_knowledge_graph
X1,V1,DEPENDS_ON,mathematics,master_knowledge_graph
X1,F1,DEPENDS_ON,mathematics,master_knowledge_graph
X2,X1,DEPENDS_ON,mathematics,master_knowledge_graph
X2,V2,DEPENDS_ON,mathematics,master_knowledge_graph
X3,X2,DEPENDS_ON,mathematics,master_knowledge_graph
X3,L3,DEPENDS_ON,mathematics,master_knowledge_graph
X4,F3,DEPENDS_ON,mathematics,master_knowledge_graph
X4,X3,DEPENDS_ON,mathematics,master_knowledge_graph
X5,X3,DEPENDS_ON,mathematics,master_knowledge_graph
X5,L4,DEPENDS_ON,mathematics,master_knowledge_graph
U1,C3,DEPENDS_ON,mathematics,master_knowledge_graph
U2,U1,DEPENDS_ON,mathematics,master_knowledge_graph
U3,U2,DEPENDS_ON,mathematics,master_knowledge_graph
U4,U3,DEPENDS_ON,mathematics,master_knowledge_graph
U5,U2,DEPENDS_ON,mathematics,master_knowledge_graph
U6,U3,DEPENDS_ON,mathematics,master_knowledge_graph
T1,U5,DEPENDS_ON,mathematics,master_knowledge_graph
T1,G4,DEPENDS_ON,mathematics,master_knowledge_graph
T2,T1,DEPENDS_ON,mathematics,master_knowledge_graph
T2,N4,DEPENDS_ON,mathematics,master_knowledge_graph
T3,U6,DEPENDS_ON,mathematics,master_knowledge_graph
T3,T1,DEPENDS_ON,mathematics,master_knowledge_graph
T4,T2,DEPENDS_ON,mathematics,master_knowledge_graph
T4,T3,DEPENDS_ON,mathematics,master_knowledge_graph
T5,T2,DEPENDS_ON,mathematics,master_knowledge_graph
T5,V2,DEPENDS_ON,mathematics,master_knowledge_graph
T6,T2,DEPENDS_ON,mathematics,master_knowledge_graph
T6,V4,DEPENDS_ON,mathematics,master_knowledge_graph
T7,T3,DEPENDS_ON,mathematics,master_knowledge_graph
T7,T6,DEPENDS_ON,mathematics,master_knowledge_graph
M1,C4,DEPENDS_ON,mathematics,master_knowledge_graph
M2,M1,DEPENDS_ON,mathematics,master_knowledge_graph
M3,M2,DEPENDS_ON,mathematics,master_knowledge_graph
M4,M1,DEPENDS_ON,mathematics,master_knowledge_graph
M5,M4,DEPENDS_ON,mathematics,master_knowledge_graph
M6,Z3,DEPENDS_ON,mathematics,master_knowledge_graph
M7,C4,DEPENDS_ON,mathematics,master_knowledge_graph
M8,M5,DEPENDS_ON,mathematics,master_knowledge_graph
M8,V1,DEPENDS_ON,mathematics,master_knowledge_graph
M9,M8,DEPENDS_ON,mathematics,master_knowledge_graph
M9,G4,DEPENDS_ON,mathematics,master_knowledge_graph
M10,M6,DEPENDS_ON,mathematics,master_knowledge_graph
M10,N3,DEPENDS_ON,mathematics,master_knowledge_graph
M11,M7,DEPENDS_ON,mathematics,master_knowledge_graph
M11,V1,DEPENDS_ON,mathematics,master_knowledge_graph
M12,M1,DEPENDS_ON,mathematics,master_knowledge_graph
M13,M12,DEPENDS_ON,mathematics,master_knowledge_graph
M13,V1,DEPENDS_ON,mathematics,master_knowledge_graph
M14,M8,DEPENDS_ON,mathematics,master_knowledge_graph
M14,M13,DEPENDS_ON,mathematics,master_knowledge_graph
M14,T4,DEPENDS_ON,mathematics,master_knowledge_graph
M14,V2,DEPENDS_ON,mathematics,master_knowledge_graph
G1,Z2,DEPENDS_ON,mathematics,master_knowledge_graph
G2,G1,DEPENDS_ON,mathematics,master_knowledge_graph
G3,G2,DEPENDS_ON,mathematics,master_knowledge_graph
G4,G3,DEPENDS_ON,mathematics,master_knowledge_graph
G5,G1,DEPENDS_ON,mathematics,master_knowledge_graph
G5,U4,DEPENDS_ON,mathematics,master_knowledge_graph
G6,G3,DEPENDS_ON,mathematics,master_knowledge_graph
G6,V2,DEPENDS_ON,mathematics,master_knowledge_graph
G7,G2,DEPENDS_ON,mathematics,master_knowledge_graph
G7,G6,DEPENDS_ON,mathematics,master_knowledge_graph
P1,Z3,DEPENDS_ON,mathematics,master_knowledge_graph
P2,P1,DEPENDS_ON,mathematics,master_knowledge_graph
P3,P2,DEPENDS_ON,mathematics,master_knowledge_graph
P4,P3,DEPENDS_ON,mathematics,master_knowledge_graph
D1,Z2,DEPENDS_ON,mathematics,master_knowledge_graph
D2,D1,DEPENDS_ON,mathematics,master_knowledge_graph
D3,D2,DEPENDS_ON,mathematics,master_knowledge_graph
D4,D3,DEPENDS_ON,mathematics,master_knowledge_graph
D5,D4,DEPENDS_ON,mathematics,master_knowledge_graph
D5,V2,DEPENDS_ON,mathematics,master_knowledge_graph
D6,D5,DEPENDS_ON,mathematics,master_knowledge_graph
D6,M8,DEPENDS_ON,mathematics,master_knowledge_graph
D6,F2,DEPENDS_ON,mathematics,master_knowledge_graph
L1,C4,DEPENDS_ON,mathematics,master_knowledge_graph
L1,N3,DEPENDS_ON,mathematics,master_knowledge_graph
L2,L1,DEPENDS_ON,mathematics,master_knowledge_graph
L2,N4,DEPENDS_ON,mathematics,master_knowledge_graph
L3,V2,DEPENDS_ON,mathematics,master_knowledge_graph
L3,L2,DEPENDS_ON,mathematics,master_knowledge_graph
L4,F3,DEPENDS_ON,mathematics,master_knowledge_graph
L4,F6,DEPENDS_ON,mathematics,master_knowledge_graph
L4,L3,DEPENDS_ON,mathematics,master_knowledge_graph
Y1,V2,DEPENDS_ON,mathematics,master_knowledge_graph
Y2,Y1,DEPENDS_ON,mathematics,master_knowledge_graph
Y2,V3,DEPENDS_ON,mathematics,master_knowledge_graph
Y3,Y1,DEPENDS_ON,mathematics,master_knowledge_graph
Y3,M8,DEPENDS_ON,mathematics,master_knowledge_graph
Y4,F3,DEPENDS_ON,mathematics,master_knowledge_graph
Y4,L4,DEPENDS_ON,mathematics,master_knowledge_graph
R1,N1,DEPENDS_ON,mathematics,master_knowledge_graph
R1,U4,DEPENDS_ON,mathematics,master_knowledge_graph
R1,M3,DEPENDS_ON,mathematics,master_knowledge_graph
