id:ID(Entity),name,entity_type,domain,source_layer,subtype,family_id,family_name,implementation_state,primary_grade_band,primary_content_domain,official_identifier,document_path,artifact_type,purpose,delivery_format,source_path,decision_type,outcome,registry_id,slice_id,status,review_status,supported_profiles:string[],mapped_family_ids:string[],mapped_grade_bands:string[],mapped_content_domains:string[],node_ids:string[],entry_node_ids:string[],learner_state_fields:string[],verification_gate_targets:string[],failure_mode_targets:string[],intervention_targets:string[],response_modes_supported:string[],accessibility_tags:string[],language_support_tags:string[],applies_when:string[],:LABEL
family:z,zero_state_and_precounting,CapabilityFamily,mathematics,capability_topology,family,Z,zero_state_and_precounting,,,,,,,,,,,,,,,,,Z,,,,,,,,,,,,,Entity;CapabilityFamily
capability:Z1,attention_to_quantity,CapabilityNode,mathematics,capability_topology,capability,Z,zero_state_and_precounting,implemented,Pre-K,pre-standard mathematical readiness,Z1,,,,,,,,,,,,,Z,Pre-K,pre-standard mathematical readiness,,,,,,,,,,,Entity;CapabilityNode
capability:Z2,match_and_sort_objects,CapabilityNode,mathematics,capability_topology,capability,Z,zero_state_and_precounting,implemented,Pre-K,pre-standard mathematical readiness,Z2,,,,,,,,,,,,,Z,Pre-K,pre-standard mathematical readiness,,,,,,,,,,,Entity;CapabilityNode
capability:Z3,pattern_and_sequence_readiness,CapabilityNode,mathematics,capability_topology,capability,Z,zero_state_and_precounting,implemented,Pre-K,pre-standard mathematical readiness,Z3,,,,,,,,,,,,,Z,Pre-K,pre-standard mathematical readiness,,,,,,,,,,,Entity;CapabilityNode
family:c,counting_and_cardinality,CapabilityFamily,mathematics,capability_topology,family,C,counting_and_cardinality,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,Entity;CapabilityFamily
capability:C1,stable_counting_sequence,CapabilityNode,mathematics,capability_topology,capability,C,counting_and_cardinality,implemented,Kindergarten,counting and cardinality,C1,,,,,,,,,,,,,C,Kindergarten,counting and cardinality,,,,,,,,,,,Entity;CapabilityNode
capability:C2,one_to_one_correspondence,CapabilityNode,mathematics,capability_topology,capability,C,counting_and_cardinality,implemented,Kindergarten,counting and cardinality,C2,,,,,,,,,,,,,C,Kindergarten,counting and cardinality,,,,,,,,,,,Entity;CapabilityNode
capability:C3,cardinality,CapabilityNode,mathematics,capability_topology,capability,C,counting_and_cardinality,implemented,Kindergarten,counting and cardinality,C3,,,,,,,,,,,,,C,Kindergarten,counting and cardinality,,,,,,,,,,,Entity;CapabilityNode
capability:C4,compare_small_quantities,CapabilityNode,mathematics,capability_topology,capability,C,counting_and_cardinality,implemented,Kindergarten,counting and cardinality,C4,,,,,,,,,,,,,C,Kindergarten,counting and cardinality,,,,,,,,,,,Entity;CapabilityNode
capability:C5,numeral_recognition_and_writing_readiness,CapabilityNode,mathematics,capability_topology,capability,C,counting_and_cardinality,implemented,Kindergarten,counting and cardinality,C5,,,,,,,,,,,,,C,Kindergarten,counting and cardinality,,,,,,,,,,,Entity;CapabilityNode
