Source,Target,Type,Label,Weight,Domain,SourceLayer,MappingStatus,RelationshipType,ArtifactType,Purpose,DecisionType,RuleId
capability:A1,family:a,Directed,BELONGS_TO_FAMILY,1,social_studies,capability_topology,,,,,,
capability:A1,capability:H5,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:H5,capability:A1,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
capability:A1,capability:C5,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:C5,capability:A1,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
capability:A1,capability:G5,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:G5,capability:A1,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
capability:A1,capability:E5,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:E5,capability:A1,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
capability:A1,capability:Q6,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:Q6,capability:A1,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
capability:A1A,family:a,Directed,BELONGS_TO_FAMILY,1,social_studies,capability_topology,,,,,,
capability:A1B,family:a,Directed,BELONGS_TO_FAMILY,1,social_studies,capability_topology,,,,,,
capability:A1B,capability:A1A,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:A1A,capability:A1B,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
capability:A1C,family:a,Directed,BELONGS_TO_FAMILY,1,social_studies,capability_topology,,,,,,
capability:A1C,capability:A1B,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:A1B,capability:A1C,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
capability:A2,family:a,Directed,BELONGS_TO_FAMILY,1,social_studies,capability_topology,,,,,,
capability:A2,capability:A1,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:A1,capability:A2,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
capability:A2,capability:H6,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:H6,capability:A2,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
capability:A2,capability:C6,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:C6,capability:A2,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
capability:A2,capability:G6,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:G6,capability:A2,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
capability:A2,capability:E6,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:E6,capability:A2,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
capability:A2A,family:a,Directed,BELONGS_TO_FAMILY,1,social_studies,capability_topology,,,,,,
capability:A2B,family:a,Directed,BELONGS_TO_FAMILY,1,social_studies,capability_topology,,,,,,
capability:A2B,capability:A2A,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:A2A,capability:A2B,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
capability:A2C,family:a,Directed,BELONGS_TO_FAMILY,1,social_studies,capability_topology,,,,,,
capability:A2C,capability:A2B,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:A2B,capability:A2C,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
capability:C1,family:c,Directed,BELONGS_TO_FAMILY,1,social_studies,capability_topology,,,,,,
capability:C1,capability:Q1,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:Q1,capability:C1,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
capability:C1A,family:c,Directed,BELONGS_TO_FAMILY,1,social_studies,capability_topology,,,,,,
capability:C1B,family:c,Directed,BELONGS_TO_FAMILY,1,social_studies,capability_topology,,,,,,
capability:C1B,capability:C1A,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:C1A,capability:C1B,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
capability:C1C,family:c,Directed,BELONGS_TO_FAMILY,1,social_studies,capability_topology,,,,,,
capability:C1C,capability:C1B,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:C1B,capability:C1C,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
capability:C1D,family:c,Directed,BELONGS_TO_FAMILY,1,social_studies,capability_topology,,,,,,
capability:C1D,capability:C1C,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:C1C,capability:C1D,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
capability:C2,family:c,Directed,BELONGS_TO_FAMILY,1,social_studies,capability_topology,,,,,,
capability:C2,capability:C1,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:C1,capability:C2,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
capability:C2,capability:Q2,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:Q2,capability:C2,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
capability:C2A,family:c,Directed,BELONGS_TO_FAMILY,1,social_studies,capability_topology,,,,,,
capability:C2B,family:c,Directed,BELONGS_TO_FAMILY,1,social_studies,capability_topology,,,,,,
capability:C2B,capability:C2A,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:C2A,capability:C2B,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
capability:C2C,family:c,Directed,BELONGS_TO_FAMILY,1,social_studies,capability_topology,,,,,,
capability:C2C,capability:C2B,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:C2B,capability:C2C,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
capability:C2D,family:c,Directed,BELONGS_TO_FAMILY,1,social_studies,capability_topology,,,,,,
capability:C2D,capability:C2C,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:C2C,capability:C2D,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
capability:C3,family:c,Directed,BELONGS_TO_FAMILY,1,social_studies,capability_topology,,,,,,
capability:C3,capability:C2,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:C2,capability:C3,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
capability:C3,capability:Q3,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:Q3,capability:C3,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
capability:C3A,family:c,Directed,BELONGS_TO_FAMILY,1,social_studies,capability_topology,,,,,,
capability:C3B,family:c,Directed,BELONGS_TO_FAMILY,1,social_studies,capability_topology,,,,,,
capability:C3B,capability:C3A,Directed,DEPENDS_ON,1,social_studies,capability_topology,,,,,,
capability:C3A,capability:C3B,Directed,UNLOCKS,1,social_studies,capability_topology,,,,,,
