Id,Label,EntityType,Subtype,Domain,SourceLayer,FamilyId,FamilyName,ImplementationState,PrimaryGradeBand,PrimaryContentDomain,OfficialIdentifier,DocumentPath,ArtifactType,Purpose,DeliveryFormat,SourcePath,DecisionType,Outcome,RegistryId,SliceId,Status,ReviewStatus,SupportedProfiles,MappedFamilyIds,MappedGradeBands,MappedContentDomains,NodeIds,EntryNodeIds,LearnerStateFields,VerificationGateTargets,FailureModeTargets,InterventionTargets,ResponseModesSupported,AccessibilityTags,LanguageSupportTags,AppliesWhen
family:a,advanced_secondary_synthesis_and_public_argument,CapabilityFamily,family,social_studies,capability_topology,A,advanced_secondary_synthesis_and_public_argument,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,
family:c,civics_and_collective_decision_making,CapabilityFamily,family,social_studies,capability_topology,C,civics_and_collective_decision_making,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,
family:e,economics_and_exchange_systems,CapabilityFamily,family,social_studies,capability_topology,E,economics_and_exchange_systems,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,
family:g,geography_and_human_environment_systems,CapabilityFamily,family,social_studies,capability_topology,G,geography_and_human_environment_systems,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,
family:h,history_and_source_reasoning,CapabilityFamily,family,social_studies,capability_topology,H,history_and_source_reasoning,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,
family:q,inquiry_evidence_and_discourse,CapabilityFamily,family,social_studies,capability_topology,Q,inquiry_evidence_and_discourse,,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,
capability:A1,A1 interdisciplinary_research_and_evidence_synthesis,CapabilityNode,capability,social_studies,capability_topology,A,advanced_secondary_synthesis_and_public_argument,drafted,Grades 11-12,advanced secondary synthesis and public argument,A1,domains/social_studies/nodes/a1-interdisciplinary-research-and-evidence-synthesis/README.md,,,,,,,,,Drafted,draft,social-studies-interdisciplinary-synthesis-node-package,A,Grades 11-12,advanced secondary synthesis and public argument,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:A1A,A1A interdisciplinary_research_and_evidence_synthesis_foundations_and_examples,CapabilityNode,capability,social_studies,capability_topology,A,advanced_secondary_synthesis_and_public_argument,drafted,Grades 11-12,advanced secondary synthesis and public argument,A1A,domains/social_studies/nodes/a1a-interdisciplinary-research-and-evidence-synthesis-foundations-and-examples/README.md,,,,,,,,,Drafted,draft,capstone-decomposition-node-package,A,Grades 11-12,advanced secondary synthesis and public argument,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:A1B,A1B interdisciplinary_research_and_evidence_synthesis_classification_and_organization,CapabilityNode,capability,social_studies,capability_topology,A,advanced_secondary_synthesis_and_public_argument,drafted,Grades 11-12,advanced secondary synthesis and public argument,A1B,domains/social_studies/nodes/a1b-interdisciplinary-research-and-evidence-synthesis-classification-and-organization/README.md,,,,,,,,,Drafted,draft,capstone-decomposition-node-package,A,Grades 11-12,advanced secondary synthesis and public argument,,,,direct_performance;meaning;transfer;retention,4,,,,,
capability:A1C,A1C interdisciplinary_research_and_evidence_synthesis_explanation_and_application,CapabilityNode,capability,social_studies,capability_topology,A,advanced_secondary_synthesis_and_public_argument,drafted,Grades 11-12,advanced secondary synthesis and public argument,A1C,domains/social_studies/nodes/a1c-interdisciplinary-research-and-evidence-synthesis-explanation-and-application/README.md,,,,,,,,,Drafted,draft,capstone-decomposition-node-package,A,Grades 11-12,advanced secondary synthesis and public argument,,,,direct_performance;meaning;transfer;retention,4,,,,,
