:START_ID(CapabilityNode),:END_ID(CapabilityNode),:TYPE,domain,graph_id
A1,H5,DEPENDS_ON,social_studies,master_knowledge_graph
A1,C5,DEPENDS_ON,social_studies,master_knowledge_graph
A1,G5,DEPENDS_ON,social_studies,master_knowledge_graph
A1,E5,DEPENDS_ON,social_studies,master_knowledge_graph
A1,Q6,DEPENDS_ON,social_studies,master_knowledge_graph
A1B,A1A,DEPENDS_ON,social_studies,master_knowledge_graph
A1C,A1B,DEPENDS_ON,social_studies,master_knowledge_graph
A2,A1,DEPENDS_ON,social_studies,master_knowledge_graph
A2,H6,DEPENDS_ON,social_studies,master_knowledge_graph
A2,C6,DEPENDS_ON,social_studies,master_knowledge_graph
A2,G6,DEPENDS_ON,social_studies,master_knowledge_graph
A2,E6,DEPENDS_ON,social_studies,master_knowledge_graph
A2B,A2A,DEPENDS_ON,social_studies,master_knowledge_graph
A2C,A2B,DEPENDS_ON,social_studies,master_knowledge_graph
C1,Q1,DEPENDS_ON,social_studies,master_knowledge_graph
C1B,C1A,DEPENDS_ON,social_studies,master_knowledge_graph
C1C,C1B,DEPENDS_ON,social_studies,master_knowledge_graph
C1D,C1C,DEPENDS_ON,social_studies,master_knowledge_graph
C2,C1,DEPENDS_ON,social_studies,master_knowledge_graph
C2,Q2,DEPENDS_ON,social_studies,master_knowledge_graph
C2B,C2A,DEPENDS_ON,social_studies,master_knowledge_graph
C2C,C2B,DEPENDS_ON,social_studies,master_knowledge_graph
C2D,C2C,DEPENDS_ON,social_studies,master_knowledge_graph
C3,C2,DEPENDS_ON,social_studies,master_knowledge_graph
C3,Q3,DEPENDS_ON,social_studies,master_knowledge_graph
C3B,C3A,DEPENDS_ON,social_studies,master_knowledge_graph
C3C,C3B,DEPENDS_ON,social_studies,master_knowledge_graph
C3D,C3C,DEPENDS_ON,social_studies,master_knowledge_graph
C4,C3,DEPENDS_ON,social_studies,master_knowledge_graph
C4,H3,DEPENDS_ON,social_studies,master_knowledge_graph
C4,Q4,DEPENDS_ON,social_studies,master_knowledge_graph
C4B,C4A,DEPENDS_ON,social_studies,master_knowledge_graph
C4C,C4B,DEPENDS_ON,social_studies,master_knowledge_graph
C4D,C4C,DEPENDS_ON,social_studies,master_knowledge_graph
C5,C4,DEPENDS_ON,social_studies,master_knowledge_graph
