:START_ID(Entity),:END_ID(Entity),:TYPE,domain,source_layer,mapping_status,relationship_type,artifact_type,purpose,decision_type,rule_id
capability:A1,family:a,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:A1,capability:H5,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:H5,capability:A1,UNLOCKS,social_studies,capability_topology,,,,,,
capability:A1,capability:C5,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:C5,capability:A1,UNLOCKS,social_studies,capability_topology,,,,,,
capability:A1,capability:G5,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:G5,capability:A1,UNLOCKS,social_studies,capability_topology,,,,,,
capability:A1,capability:E5,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:E5,capability:A1,UNLOCKS,social_studies,capability_topology,,,,,,
capability:A1,capability:Q6,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:Q6,capability:A1,UNLOCKS,social_studies,capability_topology,,,,,,
capability:A1A,family:a,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:A1B,family:a,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:A1B,capability:A1A,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:A1A,capability:A1B,UNLOCKS,social_studies,capability_topology,,,,,,
capability:A1C,family:a,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:A1C,capability:A1B,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:A1B,capability:A1C,UNLOCKS,social_studies,capability_topology,,,,,,
capability:A2,family:a,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:A2,capability:A1,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:A1,capability:A2,UNLOCKS,social_studies,capability_topology,,,,,,
capability:A2,capability:H6,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:H6,capability:A2,UNLOCKS,social_studies,capability_topology,,,,,,
capability:A2,capability:C6,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:C6,capability:A2,UNLOCKS,social_studies,capability_topology,,,,,,
capability:A2,capability:G6,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:G6,capability:A2,UNLOCKS,social_studies,capability_topology,,,,,,
capability:A2,capability:E6,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:E6,capability:A2,UNLOCKS,social_studies,capability_topology,,,,,,
capability:A2A,family:a,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:A2B,family:a,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:A2B,capability:A2A,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:A2A,capability:A2B,UNLOCKS,social_studies,capability_topology,,,,,,
capability:A2C,family:a,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:A2C,capability:A2B,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:A2B,capability:A2C,UNLOCKS,social_studies,capability_topology,,,,,,
capability:C1,family:c,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
